id,name,agent_id,password_hash,department,created_at,last_login,total_resolved,status,warning_count,is_blocked,role
1,Officer Mehta,AGT0001,f44d1ac9bf0c69b083380b86dbdf3b73797150e3cca4820ac399f7917e607647,Roads & Infrastructure,2026-03-20 17:31:18,2026-03-21T13:42:02.171995,2,active,0,0,worker
2,Inspector Kaur,AGT0002,f44d1ac9bf0c69b083380b86dbdf3b73797150e3cca4820ac399f7917e607647,Sanitation & Waste,2026-03-20 17:31:18,2026-03-25T04:43:52.169701,6,active,0,0,supervisor
3,Agent Reddy,AGT0003,f44d1ac9bf0c69b083380b86dbdf3b73797150e3cca4820ac399f7917e607647,Electricity & Streetlights,2026-03-20 17:31:18,2026-03-25T04:42:56.043116,0,active,0,0,worker
4,Field Officer Joshi,AGT0004,f44d1ac9bf0c69b083380b86dbdf3b73797150e3cca4820ac399f7917e607647,Water Supply,2026-03-20 17:31:18,2026-03-25T04:05:29.490089,0,active,0,0,worker
5,Akshay ,AGT9067,ac3704c5e852cec884a7695a2da26aaed697dae6bdb1d6ae830698e4e3666309,Roads & Infrastructure,2026-03-24 10:08:59,,0,active,0,0,worker
6,Rahul mane,AGT0010,0b971bfc7572ee9250ed555b8e56c35fd511c94548bf99b07900d228fb7d887c,Roads & Infrastructure,2026-03-24 14:03:18,2026-03-25T03:37:16.685471,1,active,0,0,worker
7,Test Worker,AGT9999,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Sanitation & Waste,2026-03-24 21:29:03,,0,blocked,0,1,worker
8,Supervisor Roads & In...,AGT10000,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Roads & Infrastructure,2026-03-24 23:22:57,,0,active,0,0,supervisor
9,Supervisor Electricit...,AGT10001,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Electricity & Streetlights,2026-03-24 23:22:57,,0,active,0,0,supervisor
10,Worker Elect 2,AGT10002,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Electricity & Streetlights,2026-03-24 23:22:57,,0,active,0,0,worker
11,Worker Elect 3,AGT10003,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Electricity & Streetlights,2026-03-24 23:22:57,,0,active,0,0,worker
12,Worker Sanit 2,AGT10004,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Sanitation & Waste,2026-03-24 23:22:57,,0,active,0,0,worker
13,Worker Sanit 3,AGT10005,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Sanitation & Waste,2026-03-24 23:22:57,,0,active,0,0,worker
