Role,Name,Username/ID,Password
Worker (Roads & Infrastructure),Officer Mehta,AGT0001,admin123
Supervisor (Sanitation & Waste),Inspector Kaur,AGT0002,password
Worker (Electricity & Streetlights),Agent Reddy,AGT0003,password
Worker (Water Supply),Field Officer Joshi,AGT0004,password
Worker (Roads & Infrastructure),Akshay ,AGT9067,password
Worker (Roads & Infrastructure),Rahul mane,AGT0010,password
Worker (Sanitation & Waste),Test Worker,AGT9999,password
Citizen,Priya Sharma,,Check your registration (e.g. 123456)
Citizen,Rahul Desai,,Check your registration (e.g. 123456)
Citizen,Anita Patil,,Check your registration (e.g. 123456)
Citizen,Vikram Singh,,Check your registration (e.g. 123456)
Citizen,Neha Gupta,,Check your registration (e.g. 123456)
Citizen,Prathamesh Bhosale ,,Check your registration (e.g. 123456)
Citizen,Akshay ,,Check your registration (e.g. 123456)
Citizen,Akshay Patil,,Check your registration (e.g. 123456)
Citizen,Test Citizen,123456789012,Check your registration (e.g. 123456)
